t_exec,t_pred,p_reversal,direction,signal_side,pos_side,action_close,action_open,price,cum_pnl
2026-01-07 10:06:00,2026-01-07 10:05:00,0.8332837820053101,1,-1,1,HOLD,already_in_position,39.04,0.022803554429177364
2026-01-07 10:07:00,2026-01-07 10:06:00,0.49899744987487793,1,0,1,HOLD,already_in_position,39.08,0.022803554429177364
2026-01-07 10:08:00,2026-01-07 10:07:00,0.9446071982383728,1,-1,1,HOLD,already_in_position,39.08,0.022803554429177364
2026-01-07 10:09:00,2026-01-07 10:08:00,0.9438022971153259,1,-1,1,HOLD,already_in_position,39.02,0.022803554429177364
2026-01-07 10:10:00,2026-01-07 10:09:00,0.4777645468711853,1,0,1,HOLD,already_in_position,39.02,0.022803554429177364
2026-01-07 10:11:00,2026-01-07 10:10:00,0.16734735667705536,1,0,1,HOLD,already_in_position,39.0,0.022803554429177364
2026-01-07 10:12:00,2026-01-07 10:11:00,0.22724604606628418,1,0,0,CLOSE pnl=0.00257,no_signal,38.98,0.025375570890082466
2026-01-07 10:13:00,2026-01-07 10:12:00,0.2542169690132141,1,0,0,flat,no_signal,38.92,0.025375570890082466
2026-01-07 10:14:00,2026-01-07 10:13:00,0.5738195180892944,1,0,0,flat,no_signal,38.94,0.025375570890082466
2026-01-07 10:15:00,2026-01-07 10:14:00,0.43601927161216736,-1,0,0,flat,no_signal,38.94,0.025375570890082466
2026-01-07 10:16:00,2026-01-07 10:15:00,0.17899151146411896,-1,0,0,flat,no_signal,38.88,0.025375570890082466
2026-01-07 10:17:00,2026-01-07 10:16:00,0.9597893357276917,-1,1,1,flat,OPEN side=1 p=0.960,38.9,0.025375570890082466
2026-01-07 10:18:00,2026-01-07 10:17:00,0.6967112421989441,1,-1,1,HOLD,already_in_position,38.86,0.025375570890082466
2026-01-07 10:19:00,2026-01-07 10:18:00,0.9250884652137756,-1,1,1,HOLD,already_in_position,38.76,0.025375570890082466
2026-01-07 10:20:00,2026-01-07 10:19:00,0.9551750421524048,-1,1,1,HOLD,already_in_position,38.76,0.025375570890082466
2026-01-07 10:21:00,2026-01-07 10:20:00,0.9653528332710266,-1,1,1,HOLD,already_in_position,38.82,0.025375570890082466
2026-01-07 10:22:00,2026-01-07 10:21:00,0.9836025238037109,-1,1,1,HOLD,already_in_position,38.8,0.025375570890082466
2026-01-07 10:23:00,2026-01-07 10:22:00,0.9825274348258972,-1,1,1,HOLD,already_in_position,38.78,0.025375570890082466
2026-01-07 10:24:00,2026-01-07 10:23:00,0.9791801571846008,-1,1,1,HOLD,already_in_position,38.68,0.025375570890082466
2026-01-07 10:25:00,2026-01-07 10:24:00,0.9512442946434021,-1,1,1,HOLD,already_in_position,38.7,0.025375570890082466
2026-01-07 10:26:00,2026-01-07 10:25:00,0.9298387169837952,-1,1,1,HOLD,already_in_position,38.66,0.025375570890082466
2026-01-07 10:27:00,2026-01-07 10:26:00,0.9456839561462402,-1,1,1,CLOSE pnl=-0.00771,OPEN side=1 p=0.946,38.6,0.017663488627871704
2026-01-07 10:28:00,2026-01-07 10:27:00,0.942983865737915,-1,1,1,HOLD,already_in_position,38.56,0.017663488627871704
2026-01-07 10:29:00,2026-01-07 10:28:00,0.942983865737915,-1,1,1,HOLD,already_in_position,38.56,0.017663488627871704
2026-01-07 10:30:00,2026-01-07 10:29:00,0.9514238238334656,-1,1,1,HOLD,already_in_position,38.64,0.017663488627871704
2026-01-07 10:31:00,2026-01-07 10:30:00,0.9553242921829224,-1,1,1,HOLD,already_in_position,38.66,0.017663488627871704
2026-01-07 10:32:00,2026-01-07 10:31:00,0.6198927760124207,-1,1,1,HOLD,already_in_position,38.64,0.017663488627871704
2026-01-07 10:33:00,2026-01-07 10:32:00,0.7363269329071045,-1,1,1,HOLD,already_in_position,38.58,0.017663488627871704
2026-01-07 10:34:00,2026-01-07 10:33:00,0.9421378374099731,-1,1,1,HOLD,already_in_position,38.62,0.017663488627871704
2026-01-07 10:35:00,2026-01-07 10:34:00,0.5735958218574524,-1,0,1,HOLD,already_in_position,38.62,0.017663488627871704
2026-01-07 10:36:00,2026-01-07 10:35:00,0.07933567464351654,-1,0,1,HOLD,already_in_position,38.58,0.017663488627871704
2026-01-07 10:37:00,2026-01-07 10:36:00,0.5292889475822449,-1,0,0,CLOSE pnl=-0.00104,no_signal,38.56,0.016627219197819954
